position_mm,potential_mv_at_reference_drive
8.089403310000062675e+01,7.042142189980967082e+00
8.091890000000063310e+01,7.057874330463402401e+00
8.092090000000062844e+01,7.059139638200385036e+00
8.092290000000062378e+01,7.060404945937368559e+00
8.094776690000063013e+01,7.076137086419802991e+00
8.105628650000062407e+01,7.146303158098567643e+00
8.122659190000062779e+01,7.259332242206791186e+00
8.139689730000063150e+01,7.376218589611688969e+00
8.156720270000062101e+01,7.497592649373264528e+00
8.173750810000061051e+01,7.622740696117127790e+00
8.190781350000061423e+01,7.752187701860266067e+00
8.201633310000062238e+01,7.836127676325792990e+00
8.204120000000061452e+01,7.855611743359572685e+00
8.204320000000060986e+01,7.857178811794619300e+00
8.204520000000061941e+01,7.858745880229678349e+00
8.207006690000061155e+01,7.878229947263457156e+00
8.217858650000061971e+01,7.963258767135645400e+00
8.234889190000060921e+01,8.100653418043730625e+00
8.251919730000061293e+01,8.241748348589872819e+00
8.268950270000061664e+01,8.386490496606461065e+00
8.285980810000060615e+01,8.534853082794553458e+00
8.303011350000059565e+01,8.686836107088769410e+00
8.313863310000060380e+01,8.785980673452160161e+00
8.316350000000059595e+01,8.808699316142520885e+00
8.316550000000060550e+01,8.810526535674547688e+00
8.316750000000060083e+01,8.812353755206562056e+00
8.319236690000060719e+01,8.835072397896935215e+00
8.330088650000060113e+01,8.936814583604178353e+00
8.347119190000060485e+01,9.098803706926767987e+00
8.364149730000059435e+01,9.266167502184783800e+00
8.381180270000059807e+01,9.441761049313942777e+00
8.398210810000060178e+01,9.620563405780160338e+00
8.415241350000059128e+01,9.802042259670191271e+00
8.426093310000058523e+01,9.918951888905391812e+00
8.428580000000059158e+01,9.945932823355525088e+00
8.428780000000058692e+01,9.948102851340522079e+00
8.428980000000059647e+01,9.950272879325535058e+00
8.431466690000058861e+01,9.977253813775652347e+00
8.442318650000059677e+01,1.009540627087942610e+01
8.459349190000058627e+01,1.028318070573180876e+01
8.476379730000058998e+01,1.046949112563665452e+01
8.493410270000057949e+01,1.065056860212511580e+01
8.510440810000058320e+01,1.084128224285974262e+01
8.527471350000058692e+01,1.104011506299970691e+01
8.538323310000058086e+01,1.116775461895166366e+01
8.540810000000058722e+01,1.119690982747076902e+01
8.541010000000058255e+01,1.119923925111773322e+01
8.541210000000057789e+01,1.120156867476469742e+01
8.543696690000058425e+01,1.123053144720811858e+01
8.554548650000057819e+01,1.135692550840795612e+01
8.571579190000058190e+01,1.155357325360625076e+01
8.588609730000057141e+01,1.174946060843862305e+01
8.605640270000057512e+01,1.194548657671785108e+01
8.622670810000056463e+01,1.214175040169258324e+01
8.639701350000056834e+01,1.233825713514547928e+01
8.650553310000056229e+01,1.246347950624098289e+01
8.653040000000056864e+01,1.249217383607313892e+01
8.653240000000056398e+01,1.249448166936414850e+01
8.653440000000057353e+01,1.249678950265517230e+01
8.655926690000056567e+01,1.252548383248731234e+01
8.666778650000057382e+01,1.264558596597197848e+01
8.683809190000056333e+01,1.282716609145066577e+01
8.700839730000056704e+01,1.300109172831628968e+01
8.717870270000055655e+01,1.316620350650263305e+01
8.734900810000056026e+01,1.332231336578091252e+01
8.751931350000054977e+01,1.347549407702998181e+01
8.762783310000055792e+01,1.357094490862244207e+01
8.765270000000055006e+01,1.359168154673623086e+01
8.765470000000055961e+01,1.359334935720829485e+01
8.765670000000055495e+01,1.359501716768034818e+01
8.768156690000056130e+01,1.361575380579414940e+01
8.779008650000055525e+01,1.370624886844585433e+01
8.796039190000055896e+01,1.383750851939922377e+01
8.813069730000054847e+01,1.396058888660316022e+01
8.830100270000055218e+01,1.407267583376304998e+01
8.847130810000054169e+01,1.417096948160251557e+01
8.864161350000054540e+01,1.425494749263621586e+01
8.875013310000053934e+01,1.430162234471180049e+01
8.877500000000054570e+01,1.431231772950016001e+01
8.877700000000054104e+01,1.431317794004416299e+01
8.877900000000055059e+01,1.431403815058817131e+01
8.880386690000054273e+01,1.432435536173650092e+01
8.891238650000055088e+01,1.436041725455789475e+01
8.908269190000054039e+01,1.440549592514279453e+01
8.925299730000054410e+01,1.443324708352061059e+01
8.942330270000053360e+01,1.444734711897295654e+01
